Organization,Active,License,UBI,Type,Address,Address Line 2,City,State,County,Zip,CreateDate,DayPhone
UMHIGH,ACTIVE (ISSUED),415840,6.03355E+15,MARIJUANA PROCESSOR,12015 AURORA AVE N   #3,#3,SEATTLE,WA,KING,981338249,20180103,4256335599
CLOVIS POINT CANNABIS,ACTIVE (ISSUED),419324,6.03357E+15,MARIJUANA PROCESSOR,4639 NUMBER 2 CANYON RD,STE B,WENATCHEE,WA,CHELAN,988010000,20180126,3605809641
MADMATTSGREENERY,ACTIVE (ISSUED),416726,6.03358E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,14249 W CLOQUALLUM RD,,ELMA,WA,MASON,985419659,20171114,3602801281
NORTH BAY MARIJUANA,ACTIVE (ISSUED),413407,6.0335E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,211 E NORTH BAY RD,STE B,ALLYN,WA,MASON,985240000,20171102,3608014269
SMOOTH SAILING VENTURES,PENDING (ISSUED),416278,6.02865E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,3303 S 35TH ST STE B-9,STE B-9,TACOMA,WA,PIERCE,984094701,20180126,2062297137
DOC CROC,ACTIVE (ISSUED),413948,6.0335E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,9730 LATHROP INDUSTRIAL DR SW,BLDG F,OLYMPIA,WA,THURSTON,985121064,20171116,4252076723
DYNAMIC HARVEST,ACTIVE (ISSUED),416393,6.03353E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,13513 NE 126TH PL STE B,,KIRKLAND,WA,KING,980340000,20171116,2062275929
RAINBOW HAZE,ACTIVE (ISSUED),424499,6.03468E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,1874 BATUM RD N  STE 200,STE 200,ODESSA,WA,ADAMS,991590000,20180130,3604492912
MEII,ACTIVE (ISSUED),416021,6.03375E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,4200 BOSTON HARBOR RD NE STE A,STE A,OLYMPIA,WA,THURSTON,985062439,20180228,3608883552
HERBSCAPES LLC,ACTIVE (ISSUED),412670,6.03621E+15,MARIJUANA PRODUCER TIER 2,26815 N HARDESTY RD STE A,,CHATTAROY,WA,SPOKANE,990038620,20171204,5097107512
RL FARMS,ACTIVE (ISSUED),417381,6.03359E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,128852 SR 26 STE A,,COLFAX,WA,WHITMAN,991119689,20170801,2087902318
TWISTED SISTERS GARDENS,ACTIVE (ISSUED),415672,6.03358E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,9444 LUNDEEN RD SW STE B,STE B,ROCHESTER,WA,THURSTON,985799008,20180109,3609513843
PLATINUM ENTERPRISES,ACTIVE (ISSUED),414115,6.03438E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,654 W HOMER ADAMS RD,,ELMA,WA,MASON,985419742,20171106,3604268784
SQUIRES FOREST,ACTIVE (ISSUED),412365,6.03357E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,652 SQUIRES RD STE 1,,ROSALIA,WA,WHITMAN,991700000,20180103,5095693370
THE HAPPY CROWD,ACTIVE (ISSUED),416840,6.03351E+15,MARIJUANA PRODUCER TIER 3,26425 S RUPP RD D1,,CHENEY,WA,SPOKANE,990040000,20171109,5099988071
CHINOOK GROWERS,ACTIVE (ISSUED),417002,6.04147E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,440 GRUBB RD STE 5,STE 5,WENATCHEE,WA,CHELAN,988010000,20171114,5096703816
AISLING ENTERPRISES,ACTIVE (ISSUED),413288,6.02991E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,3833 EAST BISMARK AVE,,SPOKANE,WA,SPOKANE,992176504,20180306,5093155419
DEEPWATER BOTANICALS,ACTIVE (ISSUED),412154,6.03349E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,5373 GUIDE MERIDIAN RD STE D3,,BELLINGHAM,WA,WHATCOM,982260000,20171212,3609204600
"MRS GREEN JEANS & THE CAPTAIN, LLC",ACTIVE (ISSUED),423373,6.03453E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,3969 SPRINGDALE-HUNTERS RD,SITE C,SPRINGDALE,WA,STEVENS,991730000,20171121,5096713773
HERBAL EARTH,ACTIVE (ISSUED),412361,6.0335E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,3104 DELPHI RD SW STE A,,OLYMPIA,WA,THURSTON,985129307,20171205,3608661864
VASHON ISLAND ORGANICS,ACTIVE (ISSUED),414235,6.00386E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,13610 SW 240TH ST STE A,,VASHON,WA,KING,980707408,20171227,2066056098
GREEN DREAMER,ACTIVE (ISSUED),413469,6.03356E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,4055 HAMMER DR STE 103,,BELLINGHAM,WA,WHATCOM,982260000,20171222,2063999462
WASHINGTON O G,PENDING (ISSUED),420382,6.03148E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,5300 17TH AVE NW   STE B,,SEATTLE,WA,KING,981073815,20180227,2063952036
JET CITY GARDENS,ACTIVE (ISSUED),425496,6.02066E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,4165 HANNEGAN RD STE B,STE B,BELLINGHAM,WA,WHATCOM,982269196,20171003,2063999221
MERRYECHO PRODUCTIONS,ACTIVE (ISSUED),416530,6.03379E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,28300 137TH AVE SW SUITE B,,VASHON,WA,KING,980708718,20180302,4259230416
BIG RIVER FARMS,ACTIVE (ISSUED),415726,6.03462E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,7584 JAMES ST WAY STE A,,FORD,WA,STEVENS,990138705,20180209,5092382950
HASH HAULERS,ACTIVE (ISSUED),423705,6.04024E+15,MARIJUANA TRANSPORTATION,1328 276TH ST E,STE C,SPANAWAY,WA,PIERCE,983879710,20170714,2537778526
THE FIRE HOUSE,ACTIVE (ISSUED),400772,6.03588E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,1714 CANYON RD,,ELLENSBURG,WA,KITTITAS,989269739,20180215,3607910112
THE GREENBLUFF GARDENER,ACTIVE (ISSUED),412745,6.03351E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,16802 N APPLEWOOD LN STE A,,MEAD,WA,SPOKANE,990219100,20171116,5093623650
SOMA FARMS,ACTIVE (ISSUED),425285,6.03325E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,5 INDIAN SPRINGS RD LOT 3,,TONASKET,WA,OKANOGAN,988559779,20170831,4257864549
EMERALD LEAVES,ACTIVE (ISSUED),413363,6.03562E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,2702 6TH AVE,,TACOMA,WA,PIERCE,984067213,20171209,2064825627
VIEW ASKEW FARMS,ACTIVE (ISSUED),412764,6.0335E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,353 MALAGA ALCOA HWY STE 6,,WENATCHEE,WA,CHELAN,988018963,20171215,5098594185
THE ROOT CELLAR,ACTIVE (ISSUED),415343,6.03355E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,23632 NE STATE ROUTE 3,,BELFAIR,WA,MASON,985288309,20171209,3604348767
FOURDUB,ACTIVE (ISSUED),413165,6.03352E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,22604 HOSKO RD,,PROSSER,WA,BENTON,993500000,20171206,4258940864
GREEN THUMB GROWERS,ACTIVE (ISSUED),412803,6.03438E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,1944 1ST AVE S STE 400,,SEATTLE,WA,KING,981341406,20170922,3609011523
T.H.C.SUPERMARKET,ACTIVE (ISSUED),415198,6.03442E+15,MARIJUANA RETAILER,23221 EDMONDS WAY STE A,STE A,EDMONDS,WA,SNOHOMISH,980260000,20171017,4259675800
THE CHRISTMAS ROOM,ACTIVE (ISSUED),426040,6.02327E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,1209 HWY 281 SPUR STE G,,QUINCY,WA,GRANT,988480000,20171227,2067308631
HYPOTHESIS GARDENS,ACTIVE (ISSUED),416519,6.03357E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,2709 N FELTS LANE,,SPOKANE VALLEY,WA,SPOKANE,992060000,20171214,2066536344
EMERALD CITY GROWERS,ACTIVE (ISSUED),416433,6.03358E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,3525 HOEHNE AVE,,LONGVIEW,WA,COWLITZ,986329385,20180104,2069208316
SAPPHIRE MEADOWS,ACTIVE (ISSUED),425218,6.03513E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,15505 WEBBER CANYON RD,STE F,BENTON CITY,WA,BENTON,993206508,20170713,5094406214
MOTHER'S OTHER GARDEN,ACTIVE (ISSUED),417320,6.03446E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,414 DELANO ROAD KP S STE A,,LAKEBAY,WA,PIERCE,983498508,20171102,2538843427
GLG L.L.C.,ACTIVE (ISSUED),412117,6.03345E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,1578 MOORE ST STE B,STE B,SEDRO WOOLLEY,WA,SKAGIT,982847523,20170926,2067994427
QUALITY GROWERS,ACTIVE (ISSUED),417338,6.0335E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,2870 OCEAN AVE   BLDG 3,BLDG 3,RAYMOND,WA,PACIFIC,985774926,20171205,3609417245
WHISPERING WINDS FARM,ACTIVE (ISSUED),412302,6.03349E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,750 E WAPATO LAKE RD UNIT C,,MANSON,WA,CHELAN,988319552,20171130,4252107454
CINDER,ACTIVE (ISSUED),414817,6.03352E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,1421 N MULLAN RD STE B,,SPOKANE VALLEY,WA,SPOKANE,992064051,20171005,5092413726
WA GROWER,ACTIVE (ISSUED),417380,6.03359E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,2604 WILLAMETTE DR NE STE D,,LACEY,WA,THURSTON,985161330,20171110,2062288122
EMERALD EVOLUTION,ACTIVE (ISSUED),412392,6.03324E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,9019 MOLLY LN STE C,,ANACORTES,WA,SKAGIT,982219345,20170926,4802510637
BUD HUT,ACTIVE (ISSUED),415361,6.03353E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,8142 HIGHWAY 14,,LYLE,WA,KLICKITAT,986350000,20171122,4254781077
PINNACLE GREEN,ACTIVE (ISSUED),416496,6.03429E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,1023 85TH AVE SE,,TUMWATER,WA,THURSTON,985010000,20180208,2067139183
THE LEGACY,ACTIVE (ISSUED),417367,6.0336E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,381 DELAMETER RD,,CASTLE ROCK,WA,COWLITZ,986119411,20171208,3607495455
CASCADE KROPZ,ACTIVE (ISSUED),425539,6.03366E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,19127 SMOKEY POINT BLVD BLDG 1,,ARLINGTON,WA,SNOHOMISH,982234264,20171114,3606595422
GREENSIDE RECREATIONAL,ACTIVE (ISSUED),414298,6.03088E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,9804 LAKE CITY WAY NE STE A,,SEATTLE,WA,KING,981250000,20180111,2063803129
SEA CHANGE CANNABIS,ACTIVE (ISSUED),353260,6.03353E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,282332 HIGHWAY 101 STE 2,,PORT TOWNSEND,WA,JEFFERSON,983688700,20171024,2064228328
TONASKET GROWERS,ACTIVE (ISSUED),416085,6.03565E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,30 LONGANECKER RD UNIT 20,UNIT 20,TONASKET,WA,OKANOGAN,988550000,20171120,5094861080
EMPYREAL CANNABIS,ACTIVE (ISSUED),415969,6.03327E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,3303 S 35TH ST UNIT B20,UNIT B20,TACOMA,WA,PIERCE,984094701,20170908,2533810634
WEST COAST HERBS,ACTIVE (ISSUED),413223,6.03357E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,2123 KING ST,,BELLINGHAM,WA,WHATCOM,982250000,20180214,3608085606
BELLA JANE'S,ACTIVE (ISSUED),416762,6.03359E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,530 RONLEE LN NW STE B,STE B,OLYMPIA,WA,THURSTON,985029270,20180104,3608702087
BETTER BUDS,ACTIVE (ISSUED),421709,6.03592E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,841 NESS CORNER RD  STE B,STE B,PORT HADLOCK,WA,JEFFERSON,983399572,20180226,3607316611
5TH HOUSE FARMS,ACTIVE (ISSUED),416057,6.03423E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,19425 OLD HWY 99 SW STE A,,ROCHESTER,WA,THURSTON,985799124,20170619,4255311122
THE VAULT CANNABIS,ACTIVE (ISSUED),420619,6.03355E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,11701 HIGHWAY 99,,EVERETT,WA,SNOHOMISH,982044809,20171023,4252488559
WAREHOUSE 420,ACTIVE (ISSUED),412984,6.03049E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,21847 LEE RD SW,,CENTRALIA,WA,THURSTON,985319700,20171006,3603888867
ALTO BUDDHA,ACTIVE (ISSUED),419833,6.03359E+15,MARIJUANA PRODUCER TIER 3,18800 BEAVER VALLEY RD,,LEAVENWORTH,WA,CHELAN,988269165,20171114,3604717765
TETRA CONSULTING,ACTIVE (ISSUED),413292,6.03326E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,1512 RD 2 NW STE E,,MOSES LAKE,WA,GRANT,988370000,20180207,4257615979
R&R LOGISTICS,ACTIVE (ISSUED),417172,6.02602E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,986 E HAMPTON RD STE B,,LIND,WA,ADAMS,993419725,20180217,2064455279
THE CLONE ZONE,ACTIVE (ISSUED),412598,6.03348E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,17835 59TH AVE NE BLDG 8 STE B,,ARLINGTON,WA,SNOHOMISH,982236429,20180301,4252394473
PULA VERDE HARVEST,ACTIVE (ISSUED),412821,6.03355E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,481 KEPPS RD  STE A,STE A,PASCO,WA,FRANKLIN,993019692,20171230,5095917888
ACME DIESEL,ACTIVE (ISSUED),416150,6.03356E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,7019 RD 9 NW STE J,,EPHRATA,WA,GRANT,988239722,20170104,2066612090
RAVEN,ACTIVE (ISSUED),417698,6.03346E+15,MARIJUANA PROCESSOR,600 RONLEE LN NW BLDG B2,,OLYMPIA,WA,THURSTON,985029264,20171104,9177030621
STONEBREAKER GROWERS,ACTIVE (ISSUED),412594,6.03349E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,2425 SALASHAN LOOP BLDG 2,,FERNDALE,WA,WHATCOM,982488308,20171130,3602209996
COUNTRY HILLS BLUE,ACTIVE (ISSUED),412411,6.03352E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,1454 E HEMMI RD,STE A,EVERSON,WA,WHATCOM,982479768,20180110,3603981484
CANNAMAN FARMS,PENDING (ISSUED),419969,6.03326E+15,MARIJUANA PROCESSOR,6212 NE 152ND AVE,STE B,VANCOUVER,WA,CLARK,986825109,20180201,3606089883
BATSTONE BUD SHOP,ACTIVE (ISSUED),420478,6.0344E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,933 E JOHNS PRAIRIE RD,,SHELTON,WA,MASON,985841270,20170824,3604908753
THE M STORE,ACTIVE (ISSUED),415303,6.03568E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,1503 A E NOB HILL BLVD,,YAKIMA,WA,YAKIMA,989010000,20180118,4252603482
GOLDEN DISPENSARIES,ACTIVE (ISSUED),414292,6.03356E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,650 LLAMA LN,,GOLDENDALE,WA,KLICKITAT,986209140,20171214,5097730700
NORTHWEST GREENERY,ACTIVE (ISSUED),415937,6.03359E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,4611 S LINKE RD,,GREENACRES,WA,SPOKANE,990167704,20180214,5099905913
SITKA PACKAGING,ACTIVE (ISSUED),412952,6.03353E+15,MARIJUANA PROCESSOR,11015 LAKE CITY WAY NE,,SEATTLE,WA,KING,981256716,20171102,2066603988
THE JOINT,ACTIVE (ISSUED),413677,6.03565E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,1840 JAMES ST,,BELLINGHAM,WA,WHATCOM,982254623,20171223,3602200439
GREEN STATE INDOOR,ACTIVE (ISSUED),416224,6.03357E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,16507 110TH AVE E,,PUYALLUP,WA,PIERCE,983750000,20171017,2533107572
TWENTY PLUS,ACTIVE (ISSUED),413088,6.03339E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,1631 E PORTLAND AVE,,TACOMA,WA,PIERCE,984212802,20180116,4255302424
EVERGREEN MARKET - AUBURN,ACTIVE (ISSUED),414714,6.03358E+15,MARIJUANA RETAILER,402 16TH ST NE STE A-100,,AUBURN,WA,KING,980021600,20171107,2068527155
OM SHIV,ACTIVE (ISSUED),412235,6.03311E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,13026 W MCFARLAND RD STE B1-3,,AIRWAY HEIGHTS,WA,SPOKANE,980010000,20180126,2066596011
THE HEALTHY CHOICE,ACTIVE (ISSUED),413477,6.03354E+15,MARIJUANA PRODUCER TIER 2,13026 W MCFARLANE RD BLDG C-3,,AIRWAY HEIGHTS,WA,SPOKANE,990015046,20180105,3602808341
RJ  AG,ACTIVE (ISSUED),413664,6.03512E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,126 NEWMAN CREEK UNIT 4,,ELMA,WA,GRAYS HARBOR,985419536,20170530,5098762301
TOKEN HERB,ACTIVE (ISSUED),400209,6.03352E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,837 A CRESCENT BEACH RD,,EASTSOUND,WA,SAN JUAN,982451695,20171024,3603766900
WONDER WEST GROUP,ACTIVE (ISSUED),416979,6.03359E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,15505 WEBBER CANYON RD STE A,,BENTON CITY,WA,BENTON,993200000,20180112,9785619460
WEST COAST PREMIUM PRODUCTS,ACTIVE (ISSUED),417030,6.03355E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,11009 1ST AVE S,SUITE B,SEATTLE,WA,KING,981461401,20180112,7024200208
W.O.W. INDUSTRIES,ACTIVE (ISSUED),413922,6.03345E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,4341 SPRINGDALE HUNTERS RD #B,,SPRINGDALE,WA,STEVENS,991739713,20180131,5092586999
GREENLEAF PRODUCERS,ACTIVE (ISSUED),416958,6.03378E+15,MARIJUANA PRODUCER TIER 2,440 GRUBB RD,,WENATCHEE,WA,CHELAN,988010000,20180306,5096798972
OCEAN GREENS,ACTIVE (ISSUED),413372,6.03351E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,9724 AURORA AVE N,,SEATTLE,WA,KING,981033223,20171013,2062299893
THUNDER GARDEN,ACTIVE (ISSUED),415665,6.0332E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,99 GREENACRES RD LOT B,LOT B,RIVERSIDE,WA,OKANOGAN,988499625,20171004,2069103089
JMR SUN FARMS II,ACTIVE (ISSUED),412279,6.0335E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,5504 E CATALDO AVE,,SPOKANE VALLEY,WA,SPOKANE,992120913,20171205,4259416384
CLOUD 9 FARMS,ACTIVE (ISSUED),412704,6.03425E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,207 DOUGLAS ST,,KELSO,WA,COWLITZ,986261405,20170802,3607511805
EVERGREEN AGRICULTURE,ACTIVE (ISSUED),416303,6.03359E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,17117 E MACMAHAN RD STE A,,SPOKANE,WA,SPOKANE,992179404,20180108,5099283866
ROYAL TREE GARDENS,ACTIVE (ISSUED),412425,6.03349E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,2909 S ALASKA ST,,TACOMA,WA,PIERCE,984097804,20171102,2068501443
FEEL BUDDER,ACTIVE (ISSUED),416676,6.03255E+15,MARIJUANA PRODUCER TIER 2,1211 HUBBARD RD,,YAKIMA,WA,YAKIMA,989300000,20170719,2062512054
THE GREENHOUSE GROUP LLC,ACTIVE (ISSUED),420633,6.03358E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,355 RAINIER AVE NORTH  STE B,STE B,RENTON,WA,KING,980575321,20171229,2063952036
STARLEAF,ACTIVE (ISSUED),415815,6.03351E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,4110 E CENTRAL AVE,,SPOKANE,WA,SPOKANE,992175138,20171024,5094990043
SWEET RELIEF CANNABIS EXPRESS,ACTIVE (ISSUED),422336,6.03588E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,1009 E YAKIMA AVE,,YAKIMA,WA,YAKIMA,989012558,20171220,3609096327
GREEN REVOLUTION,ACTIVE (ISSUED),416334,6.03352E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,22277 STOTTLEMEYER RD NE,,POULSBO,WA,KITSAP,983708957,20171114,3605363122
ROYAL GARDENS,ACTIVE (ISSUED),413723,6.03353E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,4263 12TH ST SE     STE B,STE B,EAST WENATCHEE,WA,DOUGLAS,988028724,20180110,4252053383
IRON LUNG ENTERPRISES,ACTIVE (ISSUED),415743,6.03427E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,249 JUANITA LANE,,ELK,WA,PEND OREILLE,990099551,20171019,5096900100
SUREFIRE GROWERS,ACTIVE (ISSUED),415813,6.03351E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,2705 HARTFORD DR NE,SUITE B,LAKE STEVENS,WA,SNOHOMISH,982580000,20171024,4255017333
BUDS OF VASHON,ACTIVE (ISSUED),413716,6.03351E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,7206 SW 248TH ST STE B,STE B,VASHON,WA,KING,980708002,20180305,2066182962
GARDEN OF WEEDEN,ACTIVE (ISSUED),416739,6.03358E+15,MARIJUANA PRODUCER TIER 3,8531 POSTMA RD STE G,,MOXEE,WA,YAKIMA,989369317,20180109,5033428849
CANNAREX,PENDING (ISSUED),414060,6.03346E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,2714 HENSON RD,,MOUNT VERNON,WA,SKAGIT,982739036,20180206,4254058179
TOKER FRIENDLY,ACTIVE (ISSUED),417486,6.03447E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,1515 S LYONS RD  STE B,STE B,AIRWAY HEIGHTS,WA,SPOKANE,990010000,20171002,5092448728
GREENWAY MARIJUANA,ACTIVE (ISSUED),413541,6.03354E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,4851 GEIGER RD SE,,PORT ORCHARD,WA,KITSAP,983669350,20180116,3604436988
BLACK SANDS RANCH,ACTIVE (ISSUED),412329,6.01843E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,5985 RD H NW,,EPHRATA,WA,GRANT,988230000,20171103,5097504956
ACME DIESEL,ACTIVE (ISSUED),416144,6.03356E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,7019 ROAD 9 NW,STE A,EPHRATA,WA,GRANT,988239722,20170104,2063841905
LIFE ROOTS,ACTIVE (ISSUED),412586,6.03351E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,2752 6TH AVE S,,SEATTLE,WA,KING,981342102,20171127,4259224206
HONU ENTERPRISES,ACTIVE (ISSUED),412097,6.03341E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,1465 INDUSTRIAL WAY BLDG 17,,LONGVIEW,WA,COWLITZ,986321033,20171104,5032909300
REVOLUTION HERBAL ENTERPRIES,ACTIVE (ISSUED),417094,6.0335E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,166 BENSON CREEK DR,STE 421,TWISP,WA,OKANOGAN,988569605,20171122,2064597527
GREEN LEAF,ACTIVE (ISSUED),414918,6.03565E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,3435 BIRCH BAY LYNDEN RD,,CUSTER,WA,WHATCOM,982409507,20171130,3603032860
ROCKY BROOK RANCH,ACTIVE (ISSUED),417763,6.03355E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,71 MUSTANG LN AREA C,STE 1,BRINNON,WA,JEFFERSON,983209640,20171229,7024301947
BUD HUT,ACTIVE (ISSUED),410831,6.0357E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,26207 MAPLE VALLEY BLACK,DIAMOND RD,MAPLE VALLEY,WA,KING,980388378,20171214,4257604345
TRICHOMETECHNOLOGIES,ACTIVE (ISSUED),412362,6.0335E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,33907 S GERARDS RD STE A,,KENNEWICK,WA,BENTON,993376849,20171221,5093087142
FOOTPRINT BIOSCIENCES,ACTIVE (ISSUED),416850,6.03322E+15,MARIJUANA PRODUCER TIER 2,6424 210TH AVE SW,,CENTRALIA,WA,THURSTON,985319633,20170725,3609702344
LUCKY LEAF,ACTIVE (ISSUED),422442,6.03351E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,1111 W 1ST AVE STE A,,SPOKANE,WA,SPOKANE,992014005,20171013,5095194248
GREEN STAR CANNABIS,ACTIVE (ISSUED),410798,6.03351E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,1403 N DIVISION ST STE A,,SPOKANE,WA,SPOKANE,992021810,20171013,5099193398
WASHINGTON CANNABIS CORPORATION,ACTIVE (ISSUED),413951,6.03351E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,38 NEWMAN CREEK RD,UNIT 7,ELMA,WA,GRAYS HARBOR,985419535,20180117,3605109088
